analysis_tier,dataset,model,corruption_scope,severity,mean,std,n_replicates,method
secondary/exploratory,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,2,0.7959851391214797,0.00768272818369892,3,raw_softmax
secondary/exploratory,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,3,0.7888650877160122,0.008061020120260269,3,raw_softmax
secondary/exploratory,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,4,0.731907826071514,0.030051454772738927,3,raw_softmax
secondary/exploratory,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,5,0.6572416861343238,0.027306705574425674,3,raw_softmax
secondary/exploratory,smids,resnet50,clean,0,0.8331823671497585,,1,deep_ensemble
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,1,0.8359200710430997,,1,deep_ensemble
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,2,0.8401531746972893,,1,deep_ensemble
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,3,0.8031832842214798,,1,deep_ensemble
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,4,0.7926074653084393,,1,deep_ensemble
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,5,0.7321104050891111,,1,deep_ensemble
secondary/exploratory,smids,resnet50,clean,0,0.8024027131990346,0.015063164683322553,5,energy
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,1,0.7875950781679579,0.018627249476939136,5,energy
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,2,0.790465818148836,0.01792715479719217,5,energy
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,3,0.7682128155398682,0.02006139332406998,5,energy
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,4,0.7477421373446301,0.01684339200710592,5,energy
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,5,0.68567855459377,0.020382644421871203,5,energy
secondary/exploratory,smids,resnet50,clean,0,0.49192991445842305,0.023733157792431965,5,mahalanobis
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,1,0.4707689092020756,0.028345897400759126,5,mahalanobis
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,2,0.4834901325348529,0.02031015765321825,5,mahalanobis
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,3,0.4932341741968247,0.028493349625091133,5,mahalanobis
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,4,0.46491784596572705,0.020490825679961595,5,mahalanobis
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,5,0.478671446126519,0.020287908095674812,5,mahalanobis
secondary/exploratory,smids,resnet50,clean,0,0.830418142269799,0.025349154806356966,5,mc_dropout
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,1,0.8173861804597051,0.025540982198727274,5,mc_dropout
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,2,0.8156715267371208,0.025849905525884037,5,mc_dropout
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,3,0.7891174300939292,0.018318227943108417,5,mc_dropout
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,4,0.7657262613997033,0.01645055115418801,5,mc_dropout
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,5,0.6950578972907394,0.01976470859777186,5,mc_dropout
secondary/exploratory,smids,resnet50,clean,0,0.8331191240085778,0.029579238011955136,5,raw_softmax
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,1,0.8169076012157184,0.026416651142721292,5,raw_softmax
secondary/exploratory,smids,resnet50,equal_mean_of_7_device_corruptions,2,0.8142456688975086,0.025554409980555807,5,raw_softmax
