analysis_tier,dataset,model,corruption_scope,severity,method,metric,signal_label,n_replicates,mean,std,clean_mean,frozen_cutoff,normalized_mean,normalized_std,crossing_severity
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,3,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.1643537414965986,0.04809672947489966,0.08571428571428567,0.17142857142857135,0.9174603174603179,0.5611285105404963,4.0
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,4,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.24247165532879814,0.058146775541950975,0.08571428571428567,0.17142857142857135,1.8288359788359798,0.6783790479894284,4.0
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,5,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.36825396825396817,0.060037198616207384,0.08571428571428567,0.17142857142857135,3.296296296296297,0.7004339838557532,4.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,0,aps,conformal_coverage,APS coverage,3,0.9577777777777777,0.010715167512214404,0.9577777777777777,0.85,-0.0,0.09941908001023676,4.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,1,aps,conformal_coverage,APS coverage,3,0.9641269841269842,0.007858345266340726,0.9577777777777777,0.85,-0.05891016200294635,0.07291248185264594,4.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,2,aps,conformal_coverage,APS coverage,3,0.9390476190476192,0.022151815904024794,0.9577777777777777,0.85,0.17378497790868702,0.2055323125115703,4.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,3,aps,conformal_coverage,APS coverage,3,0.8692063492063493,0.07659170149381268,0.9577777777777777,0.85,0.8217967599410886,0.7106446530353756,4.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,4,aps,conformal_coverage,APS coverage,3,0.8225396825396825,0.0952968072995181,0.9577777777777777,0.85,1.25478645066274,0.8841971811295496,4.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,5,aps,conformal_coverage,APS coverage,3,0.7595238095238095,0.09722102364016606,0.9577777777777777,0.85,1.8394698085419738,0.9020507348056648,4.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,0,raw_softmax,accuracy,Accuracy,3,0.8888888888888888,0.016442942874387495,0.8888888888888888,0.8388888888888888,-0.0,0.3288588574877496,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,1,raw_softmax,accuracy,Accuracy,3,0.8671428571428571,0.007839084587216324,0.8888888888888888,0.8388888888888888,0.4349206349206343,0.15678169174432632,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,2,raw_softmax,accuracy,Accuracy,3,0.7687301587301588,0.06145871046042869,0.8888888888888888,0.8388888888888888,2.403174603174598,1.2291742092085727,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,3,raw_softmax,accuracy,Accuracy,3,0.6796825396825398,0.04922145185537831,0.8888888888888888,0.8388888888888888,4.184126984126977,0.9844290371075654,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,4,raw_softmax,accuracy,Accuracy,3,0.6017460317460318,0.07188794084757615,0.8888888888888888,0.8388888888888888,5.742857142857136,1.4377588169515216,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,5,raw_softmax,accuracy,Accuracy,3,0.4901587301587302,0.08715369869240894,0.8888888888888888,0.8388888888888888,7.974603174603166,1.7430739738481773,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,0,raw_softmax,ece,ECE,3,0.03958280318313167,0.0059184862295023335,0.03958280318313167,0.07916560636626334,0.0,0.14952165469737408,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,1,raw_softmax,ece,ECE,3,0.05518886562377684,0.009876937745413377,0.03958280318313167,0.07916560636626334,0.39426370003263794,0.24952597974724702,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,2,raw_softmax,ece,ECE,3,0.13939761951802265,0.0656992621726774,0.03958280318313167,0.07916560636626334,2.521671238721854,1.6597930638898089,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,3,raw_softmax,ece,ECE,3,0.21387859744685034,0.06499868421705225,0.03958280318313167,0.07916560636626334,4.4033211457342,1.6420940153311738,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,4,raw_softmax,ece,ECE,3,0.2893786055275372,0.0911952946661765,0.03958280318313167,0.07916560636626334,6.3107153171723,2.3039119853199193,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,5,raw_softmax,ece,ECE,3,0.39728688837516873,0.1367639024188256,0.03958280318313167,0.07916560636626334,9.036855816832945,3.4551343366481926,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,0,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.21680468817551923,0.032669039399142466,0.21680468817551923,0.43360937635103847,0.0,0.15068419264390856,
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,1,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.2659718422662644,0.020870208681561118,0.21680468817551923,0.43360937635103847,0.22678086209529186,0.09626271856568507,
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,2,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.29685102474121816,0.029758627082873478,0.21680468817551923,0.43360937635103847,0.3692094356414266,0.13726007187991107,
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,3,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.31549318649229546,0.055733804690938214,0.21680468817551923,0.43360937635103847,0.4551954071993161,0.2570691859108583,
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,4,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.3310380791136551,0.08431232431551951,0.21680468817551923,0.43360937635103847,0.5268953909596993,0.3888860754120894,
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,5,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.3229747791663699,0.15602824128746365,0.21680468817551923,0.43360937635103847,0.48970385227508656,0.719671897321461,
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,0,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.05416666666666664,0.014433756729740645,0.05416666666666664,0.10833333333333328,0.0,0.26646935501059665,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,1,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.07480158730158727,0.004507070115714496,0.05416666666666664,0.10833333333333328,0.38095238095238104,0.08320744829011381,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,2,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.17797619047619043,0.06274893734814954,0.05416666666666664,0.10833333333333328,2.2857142857142865,1.1584419202735305,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,3,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.2563492063492063,0.04494080468712066,0.05416666666666664,0.10833333333333328,3.7326007326007344,0.8296763942237664,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,4,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.3507936507936507,0.08249221200557165,0.05416666666666664,0.10833333333333328,5.476190476190478,1.5229331447182466,2.0
primary/prespecified,smids,mobilenet_v3_large,equal_mean_of_7_device_corruptions,5,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.48571428571428577,0.09837829019585273,0.05416666666666664,0.10833333333333328,7.9670329670329725,1.8162145882311282,2.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,0,aps,conformal_coverage,APS coverage,5,0.9773333333333334,0.013824294235551829,0.9773333333333334,0.85,-0.0,0.10856775577658498,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,1,aps,conformal_coverage,APS coverage,5,0.9791428571428572,0.011240516284815696,0.9773333333333334,0.85,-0.014210919970082319,0.0882763059016939,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,2,aps,conformal_coverage,APS coverage,5,0.9778095238095238,0.009413648604305946,0.9773333333333334,0.85,-0.0037397157816000596,0.07392917752072728,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,3,aps,conformal_coverage,APS coverage,5,0.9653333333333333,0.007762050831228548,0.9773333333333334,0.85,0.09424083769633598,0.060958514381376,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,4,aps,conformal_coverage,APS coverage,5,0.9291428571428572,0.01074018034871403,0.9773333333333334,0.85,0.3784592370979806,0.08434696608937715,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,5,aps,conformal_coverage,APS coverage,5,0.8653333333333333,0.02116076033080517,0.9773333333333334,0.85,0.879581151832461,0.16618398165553788,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,0,raw_softmax,accuracy,Accuracy,5,0.8966666666666667,0.007071067811865407,0.8966666666666667,0.8466666666666667,-0.0,0.141421356237308,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,1,raw_softmax,accuracy,Accuracy,5,0.8969523809523811,0.012401996767034086,0.8966666666666667,0.8466666666666667,-0.005714285714286666,0.2480399353406815,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,2,raw_softmax,accuracy,Accuracy,5,0.8876190476190476,0.013175081268816167,0.8966666666666667,0.8466666666666667,0.18095238095238148,0.2635016253763231,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,3,raw_softmax,accuracy,Accuracy,5,0.8299047619047618,0.015018507101425063,0.8966666666666667,0.8466666666666667,1.3352380952380971,0.300370142028501,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,4,raw_softmax,accuracy,Accuracy,5,0.7364761904761904,0.01623453389238351,0.8966666666666667,0.8466666666666667,3.203809523809524,0.3246906778476699,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,5,raw_softmax,accuracy,Accuracy,5,0.6335238095238095,0.02334207805037399,0.8966666666666667,0.8466666666666667,5.26285714285714,0.46684156100747937,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,0,raw_softmax,ece,ECE,5,0.0468318364024162,0.010724334451363692,0.0468318364024162,0.0936636728048324,0.0,0.22899666712216285,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,1,raw_softmax,ece,ECE,5,0.04631261059783749,0.0047834928626540145,0.0468318364024162,0.0936636728048324,-0.011087026357820103,0.10214190239200654,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,2,raw_softmax,ece,ECE,5,0.052126197806426425,0.002868942461274301,0.0468318364024162,0.0936636728048324,0.11305047614440918,0.06126051595803498,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,3,raw_softmax,ece,ECE,5,0.10052032491422831,0.009816155916578008,0.0468318364024162,0.0936636728048324,1.146410062814495,0.2096043347997253,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,4,raw_softmax,ece,ECE,5,0.17759906429620015,0.016168101603137416,0.0468318364024162,0.0936636728048324,2.7922720512202095,0.34523740355189775,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,5,raw_softmax,ece,ECE,5,0.2735043429874238,0.019535541886638516,0.0468318364024162,0.0936636728048324,4.840137052010048,0.4171423413503088,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,0,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.18622796833515162,0.03649808680153978,0.18622796833515162,0.37245593667030324,0.0,0.19598606550791947,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,1,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.19427275700228552,0.033821062539654154,0.18622796833515162,0.37245593667030324,0.043198606197839294,0.1816110804516049,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,2,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.20647125158991128,0.035055019934624794,0.18622796833515162,0.37245593667030324,0.1087016275575113,0.18823713885734292,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,3,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.23159124510628834,0.034796819865425786,0.18622796833515162,0.37245593667030324,0.24359003202728993,0.18685066575393489,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,4,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.24978062851088384,0.034416869853844505,0.18622796833515162,0.37245593667030324,0.3412627047584897,0.18481042434992895,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,5,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.26890351005962915,0.03199015100560227,0.18622796833515162,0.37245593667030324,0.44394804101437446,0.1717795199700084,
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,0,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.0483333333333333,0.008640183897219877,0.0483333333333333,0.0966666666666666,0.0,0.17876242545972174,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,1,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.05130952380952377,0.006191620773307542,0.0483333333333333,0.0966666666666666,0.06157635467980293,0.12810249875808719,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,2,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.05857142857142854,0.005593338076587391,0.0483333333333333,0.0966666666666666,0.21182266009852238,0.11572423606732542,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,3,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.11976190476190474,0.01101110035672,0.0483333333333333,0.0966666666666666,1.4778325123152722,0.22781586944937948,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,4,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.21428571428571427,0.01889353600964748,0.0483333333333333,0.0966666666666666,3.4334975369458154,0.3909007450271895,3.0
primary/prespecified,smids,resnet50,equal_mean_of_7_device_corruptions,5,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.3273809523809524,0.024968091882338502,0.0483333333333333,0.0966666666666666,5.77339901477833,0.516581211358728,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,0,aps,conformal_coverage,APS coverage,3,0.9866666666666667,0.005773502691896279,0.9866666666666667,0.85,-0.0,0.04224514164802154,
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,1,aps,conformal_coverage,APS coverage,3,0.9866666666666667,0.0033333333333333886,0.9866666666666667,0.85,-0.0,0.02439024390243942,
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,2,aps,conformal_coverage,APS coverage,3,0.9757142857142856,0.0009523809523810239,0.9866666666666667,0.85,0.08013937282230031,0.0069686411149831,
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,3,aps,conformal_coverage,APS coverage,3,0.9434920634920635,0.008388704928078607,0.9866666666666667,0.85,0.31591173054587696,0.06138076776642881,
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,4,aps,conformal_coverage,APS coverage,3,0.9085714285714287,0.010033955955097802,0.9866666666666667,0.85,0.5714285714285705,0.07341918991534975,
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,5,aps,conformal_coverage,APS coverage,3,0.8685714285714287,0.012839494059726467,0.9866666666666667,0.85,0.864111498257839,0.09394751751019363,
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,0,raw_softmax,accuracy,Accuracy,3,0.8877777777777779,0.021688023662159054,0.8877777777777779,0.8377777777777778,-0.0,0.4337604732431807,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,1,raw_softmax,accuracy,Accuracy,3,0.8753968253968254,0.01975090533435955,0.8877777777777779,0.8377777777777778,0.24761904761904963,0.3950181066871906,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,2,raw_softmax,accuracy,Accuracy,3,0.846031746031746,0.02216375528593714,0.8877777777777779,0.8377777777777778,0.8349206349206365,0.4432751057187424,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,3,raw_softmax,accuracy,Accuracy,3,0.7866666666666666,0.016605329308726414,0.8877777777777779,0.8377777777777778,2.0222222222222235,0.332106586174528,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,4,raw_softmax,accuracy,Accuracy,3,0.7234920634920634,0.01864049023065927,0.8877777777777779,0.8377777777777778,3.2857142857142865,0.372809804613185,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,5,raw_softmax,accuracy,Accuracy,3,0.6141269841269841,0.023663041464868854,0.8877777777777779,0.8377777777777778,5.473015873015871,0.4732608292973767,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,0,raw_softmax,ece,ECE,3,0.051576605041821766,0.02328901129418406,0.051576605041821766,0.10315321008364353,0.0,0.4515421531777784,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,1,raw_softmax,ece,ECE,3,0.054323250041121485,0.011299449745887284,0.051576605041821766,0.10315321008364353,0.05325369897984862,0.2190809134630892,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,2,raw_softmax,ece,ECE,3,0.06837885644227736,0.007729653663194549,0.051576605041821766,0.10315321008364353,0.32577272945420116,0.14986743809381847,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,3,raw_softmax,ece,ECE,3,0.1264012631773948,0.01584865063391963,0.051576605041821766,0.10315321008364353,1.4507480295552644,0.3072837116958063,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,4,raw_softmax,ece,ECE,3,0.15558428610128064,0.007836815327985166,0.051576605041821766,0.10315321008364353,2.0165670263702404,0.15194515656140126,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,5,raw_softmax,ece,ECE,3,0.18133288852752197,0.053411317067810486,0.051576605041821766,0.10315321008364353,2.5157972957019004,1.0355725628800307,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,0,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.28184684614340466,0.1500669198712702,0.28184684614340466,0.5636936922868093,0.0,0.5324413663827752,5.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,1,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.3099919174398695,0.1504087917904271,0.28184684614340466,0.5636936922868093,0.09985945090953584,0.5336543369156544,5.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,2,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.3467441293455306,0.1553515364746046,0.28184684614340466,0.5636936922868093,0.23025726237541785,0.5511913246514073,5.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,3,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.3738721687169302,0.1620773647024674,0.28184684614340466,0.5636936922868093,0.32650825734875427,0.5750547395517134,5.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,4,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.449708656363544,0.16979494193779435,0.28184684614340466,0.5636936922868093,0.5955781039136789,0.6024369059336647,5.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,5,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.5658459793776274,0.20568244521796739,0.28184684614340466,0.5636936922868093,1.0076363710301124,0.7297667085240878,5.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,0,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.052777777777777764,0.01683938285136407,0.052777777777777764,0.10555555555555553,0.0,0.3190619908679509,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,1,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.06091269841269837,0.019473779297325345,0.052777777777777764,0.10555555555555553,0.15413533834586415,0.36897687089669085,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,2,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.09067460317460313,0.016648941822062044,0.052777777777777764,0.10555555555555553,0.7180451127819545,0.3154536345232809,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,3,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.15376984126984125,0.011077400676355442,0.052777777777777764,0.10555555555555553,1.9135338345864668,0.20988759176252422,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,4,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.22380952380952376,0.019750785741710786,0.052777777777777764,0.10555555555555553,3.240601503759399,0.37422541405346765,3.0
primary/prespecified,smids,xception,equal_mean_of_7_device_corruptions,5,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.3436507936507936,0.026979020291760934,0.052777777777777764,0.10555555555555553,5.511278195488723,0.5111814371070494,3.0
