analysis_tier,dataset,model,seed,fold,run_id,checkpoint,checkpoint_sha256,corruption,severity,method,metric,mean,std,n_samples
secondary/exploratory,smids,resnet50,2025,,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,999e6af4f82903698b1c53913ec19723c8a2951e87843aedb3d0501887879bf0,defocus_blur,1,gradcam++,spearman,0.9995623114672936,0.0005928592042108,300
secondary/exploratory,smids,resnet50,2025,,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,999e6af4f82903698b1c53913ec19723c8a2951e87843aedb3d0501887879bf0,defocus_blur,1,gradcam++,top_percent_iou,0.9890909090909092,0.0432515718961633,300
secondary/exploratory,smids,resnet50,2025,,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,999e6af4f82903698b1c53913ec19723c8a2951e87843aedb3d0501887879bf0,defocus_blur,2,gradcam++,spearman,0.9884760406625877,0.0092793852537788,300
secondary/exploratory,smids,resnet50,2025,,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,999e6af4f82903698b1c53913ec19723c8a2951e87843aedb3d0501887879bf0,defocus_blur,2,gradcam++,top_percent_iou,0.9242191142191144,0.1000723348410887,300
secondary/exploratory,smids,resnet50,2025,,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,999e6af4f82903698b1c53913ec19723c8a2951e87843aedb3d0501887879bf0,defocus_blur,3,gradcam++,spearman,0.9322069651343334,0.0282570203251315,300
secondary/exploratory,smids,resnet50,2025,,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,999e6af4f82903698b1c53913ec19723c8a2951e87843aedb3d0501887879bf0,defocus_blur,3,gradcam++,top_percent_iou,0.845981795981796,0.1226559405934818,300
secondary/exploratory,smids,resnet50,2025,,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,999e6af4f82903698b1c53913ec19723c8a2951e87843aedb3d0501887879bf0,defocus_blur,4,gradcam++,spearman,0.9088974268130594,0.0378475571259536,300
secondary/exploratory,smids,resnet50,2025,,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,999e6af4f82903698b1c53913ec19723c8a2951e87843aedb3d0501887879bf0,defocus_blur,4,gradcam++,top_percent_iou,0.8137029637029637,0.1350294508446689,300
secondary/exploratory,smids,resnet50,2025,,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,999e6af4f82903698b1c53913ec19723c8a2951e87843aedb3d0501887879bf0,defocus_blur,5,gradcam++,spearman,0.8716110396342546,0.0518608669049397,300
secondary/exploratory,smids,resnet50,2025,,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,999e6af4f82903698b1c53913ec19723c8a2951e87843aedb3d0501887879bf0,defocus_blur,5,gradcam++,top_percent_iou,0.7644419469419469,0.1396244027895607,300
