analysis_tier,dataset,model,corruption_scope,severity,coverage,mean_risk,std_risk,n_replicates,mean_aurc,std_aurc,mean_risk_at_80,std_risk_at_80
secondary/exploratory,hushem,resnet50,clean,0,0.0,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.01,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.02,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.03,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.04,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.05,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.06,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.07,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.08,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.09,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.1,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.11,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.12,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.13,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.14,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.15,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.16,0.0,0.0,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.17,0.007750000000000005,0.01732952682562338,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.18,0.018499999999999992,0.04136725758374609,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.19,0.028305555555555556,0.06329314636311904,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.2,0.03666666666666667,0.08198915917499229,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.21,0.044311111111111114,0.09908265660299069,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.22,0.0424,0.09480928224599108,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.23,0.040488888888888894,0.09053590788899149,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.24,0.044654545454545454,0.08453212016058143,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.25,0.050909090909090904,0.08127343908575818,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.26,0.05672727272727274,0.08202650246986042,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.27,0.06193939393939394,0.08573531406098064,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.28,0.06646153846153845,0.09100620955470451,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
