analysis_tier,dataset,model,corruption,severity,mean,std,n_replicates,method,metric
secondary/exploratory,hushem,resnet50,motion_blur,1,2.560359408033827,0.15954960458892367,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,motion_blur,2,2.602431289640592,0.17362414362666465,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,motion_blur,3,2.7822410147991543,0.16515539054878958,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,motion_blur,4,2.893128964059197,0.058561318405201755,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,motion_blur,5,2.9767441860465116,0.02848243886957189,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,resample,1,2.5564482029598308,0.22121278350129311,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,resample,2,2.6625792811839326,0.2081545396524454,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,resample,3,2.902642706131078,0.11684013208038597,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,resample,4,2.9862579281183934,0.020388267993642527,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,resample,5,3.0,0.0,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,shot_noise,1,2.4168076109936574,0.18122090179149775,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,shot_noise,2,2.5507399577167016,0.2321156659397607,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,shot_noise,3,2.777484143763213,0.15774897079044856,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,shot_noise,4,2.967441860465116,0.03891441983879427,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,shot_noise,5,3.0,0.0,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,defocus_blur,1,0.8514799154334037,0.07136480993315732,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,defocus_blur,2,0.837737843551797,0.03383076745413379,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,defocus_blur,3,0.7865750528541227,0.07145713184748098,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,defocus_blur,4,0.7125792811839323,0.07036986055775174,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,defocus_blur,5,0.5825581395348837,0.10880018253094484,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,gaussian_noise,1,0.8329809725158561,0.06085343748255502,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,gaussian_noise,2,0.833615221987315,0.054002327335674324,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,gaussian_noise,3,0.8102536997885835,0.04428721335838104,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,gaussian_noise,4,0.7405919661733615,0.05377423216394709,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,gaussian_noise,5,0.6200845665961945,0.09215309913805228,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,illumination,1,0.8375264270613109,0.06834714537905381,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,illumination,2,0.8143763213530655,0.07236808395357007,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,illumination,3,0.7819238900634249,0.08561356398901453,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,illumination,4,0.7309725158562368,0.08754500063370076,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,illumination,5,0.6618393234672304,0.049627178532881,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,jpeg,1,0.8378435517970402,0.017587005786964427,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,jpeg,2,0.8328752642706132,0.060840123188911535,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,jpeg,3,0.8143763213530656,0.06012188392917483,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,jpeg,4,0.7678646934460888,0.11098258275565533,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,jpeg,5,0.7079281183932347,0.06009074437132987,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,motion_blur,1,0.8328752642706132,0.05621999383673631,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,motion_blur,2,0.7684989429175475,0.02858035060168239,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,motion_blur,3,0.7219873150105708,0.0762053078761884,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,motion_blur,4,0.5832980972515857,0.06383062648475687,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,motion_blur,5,0.5319238900634249,0.09299442182375396,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,resample,1,0.8143763213530656,0.0554419339900216,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,resample,2,0.7957716701902748,0.08676580162986837,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,resample,3,0.7265327695560254,0.0930079388696716,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,resample,4,0.6613107822410148,0.10376006032726333,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,resample,5,0.47610993657505285,0.12089992080081768,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,shot_noise,1,0.8515856236786469,0.061135566501254894,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,shot_noise,2,0.8472515856236786,0.06052431717967962,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,shot_noise,3,0.814799154334038,0.05203595072440097,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,shot_noise,4,0.7125792811839323,0.0793977297000083,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,shot_noise,5,0.48118393234672296,0.06932720350841748,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,defocus_blur,1,0.13528911225639487,0.03538291025931379,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,defocus_blur,2,0.12452781088571466,0.03262710293832222,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,defocus_blur,3,0.13935931607230265,0.034919753090276846,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,defocus_blur,4,0.2068384936004562,0.04673371720570856,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,defocus_blur,5,0.22080964045658166,0.07303428097164345,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,gaussian_noise,1,0.12780615486062857,0.021048210450396312,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,gaussian_noise,2,0.16983445339046618,0.05992057655401065,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,gaussian_noise,3,0.17237256909651683,0.021635042917801838,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,gaussian_noise,4,0.19371134365965897,0.02067579967374383,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,gaussian_noise,5,0.18942280037458548,0.067892184793945,5,raw_softmax,ece
secondary/exploratory,hushem,resnet50,illumination,1,0.12135905723617135,0.027430123180529942,5,raw_softmax,ece
